contentid,contenttypeid,booktour,createdtime,homepage,modifiedtime,tel,telname,title,firstimage,firstimage2,areacode,sigungucode,cat1,cat2,cat3,addr1,addr2,zipcode,mapx,mapy,mlevel,overview,accomcount,chkbabycarriage,chkcreditcard,chkpet,expagerange,expguide,heritage1,heritage2,heritage3,infocenter,opendate,parking,restdate,useseason,usetime
2761745,12,0,20211025143137,,20211108151646,,,송파구자원순환공원,http://tong.visitkorea.or.kr/cms/resource/73/2770073_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2770073_image3_1.jpg,1,18,A02,A0202,A02020600,서울특별시 송파구 헌릉로 793,(장지동),05842,127.1243465658,37.4709151949,6.0,"서울 송파구 장지동에 있는 5개 동 40,024.87㎡ 규모의 자원순환공원은 종합폐기물 처리시설을 갖춘 현대식 건물과 공원으로 조성해 놓은 테마공원이다, 장지동 일대 재활용 쓰레기, 음식물 처리시설과 대형 폐기물 및 생활 폐기물 처리시설을 갖춘 곳으로, 첨단 시설 처리 시스템을 도입하고 친환경 테마공원으로 조성하여 각종 체험 프로그램도 운영해 주민 친화적인 공간으로 이용되고 있다. 자원순환 홍보관에서는 자원순환과 환경보전의 중요성을 일깨워 주는 상시 체험과 전시공간이 있다.",,없음,가능,가능,없음,"현장방문 관람 및 영상자료 시청, 현장견학, 정크아트 체험, 폐기물을 활용한 각종 수공예품 만들기 체험 등",0.0,0,0.0,02-2147-3972,,있음,없음,,00:00 ~ 24:00
754052,12,0,20090617225826,"<a href=""http://parks.seoul.go.kr/parks/detailView.do?pIdx=118&tabTarget=1"" target=""_blank"" title=""서울의 공원 사이트로 이동"">http://parks.seoul.go.kr</a><br>송파 문화관광 <a href=""https://www.songpa.go.kr/culture/detailInfo.do?resrceCd=TR0147-1000053&sc1=TR0147&rcpp=6&key=3822"" target=""_blank"" title=""송파 문화관광 사이트로 이동"">https://www.songpa.go.kr/culture</a>",20220217164347,,,송파나루공원(석촌호수),,,1,18,A02,A0202,A02020700,서울특별시 송파구 삼학사로 136,,05608,127.0979728676,37.5095713442,6.0,"현재의 석촌호수 북쪽 잠실벌은 서호의 남쪽에 나룻터가 한강이었으나 세월이 지남에 따라 토사가 쌓여 인공 섬이 생기면서 광진교 밑에서부터 잠실야구장까지 지금의 석촌호수를 지나는 송파강과 신천강을 이루는 샛강이 생기게 되었다. 1969년 한강 본류의 하상 정비 개발에 착수하면서 이 강을 매립하였으나 일부는 남겨 놓았고 1980년대 초 이 호수를 정비하면서 공원이 만들어지게 되었다.'송파나루공원'은 송파대로가 개통하면서 동서로 같은 모양의 동호, 서호로 나누어져 있으며 호수와 공원으로 조성된 이상적인 형태의 공원으로 조깅 코스 및 산책로가 설치되어 있어 시민들의 휴식 공간으로 널리 이용되고 있다. 석촌호수의 면적은 217,850㎡이며 담수량은 737톤으로 수심은 4~5m이며 수원은 한강물로 1971년에 조성하였다.<br>",1000명 이상,불가,없음,없음,,,0.0,0,0.0,02-440-3595,1981. 11. 26,있음(주차장 5개소),연중무휴,,24시간
127219,12,0,20070922000000,"<a href=""http://eptour.kr/v2/layout/contents_view.php?b_um=03&m_um=02&s_um=01&seq=100088&page=1"" target=""_blank"" title=""새창 : 은평구 문화관광 홈페이지로 이동"">http://eptour.kr</a><br>수국사 <a href=""http://www.suguksa.org/"" target=""_blank"" title=""새창: 수국사 홈페이지로 이동"">http://www.suguksa.org</a><br /><a href=""https://www.templestay.com/temple_info.asp?t_id=suguksa "" target=""_blank"" >☞ 템플스테이 보러가기 </a>",20210923163916,,,수국사(서울),http://tong.visitkorea.or.kr/cms/resource/06/2551106_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/06/2551106_image2_1.bmp,1,22,A02,A0201,A02010800,서울특별시 은평구 서오릉로23길 8-5,,03424,126.9047680128,37.6159499573,6.0,"서울시 은평구 구산동 314번지에 소재한 대한불교조계종 수국사는 오랜 역사를 가진 고찰이다. 세조 5년(1459) 맏아들 의경대왕이 요절하자, 고양 봉현 능을 건립하고 원찰(願刹)로 삼아 중창한 것이 정인사(正因寺)인데 이 정인사가 바로 수국사의 전신이다. 정인사는 119칸의 호화찬란한 대찰로 광릉의 봉선사와 맞먹을 만한 풍광이 뛰어난 명찰이었다고 한다. 수덕사는 숙종과 인현왕후 능인 명릉의 원찰 기능까지 수행했지만 조선 후기에는 불상만 남긴 채 폐허가 되었는데 광무 4년(1900) 세자이던 순종이 병으로 위독하자 고종의 명으로 월초스님이 기도하여 병이 쾌차, 스님의 소원으로 수국사를 다시 중창하게 되었다. 1907년에는 불상의 개금과 불화 13점 등이 왕실의 발원으로 이루어지게 되는 등 수국사는 서울 근교의 명찰로 이름을 드날리게 되었다.<br><br>이후 6.25동란으로 피해를 입어 건물 대부분이 파괴되었는데 역대 주지스님들이 계속하여 중창을 거듭해오다 1995년에 황금법당으로 중창하여 현재에 이르고 있다. 우리나라에 존재하는 유일한 금으로 칠해진 황금법당은 외9포, 내15포, 108평 규모에 청기와로 된 전통 목조법당이며 법당 안팎을 기와 이외에는100% 순금으로 개금 불사했다. 현재 수국사에는 보물로 지정된 고려 목아미타불좌상(高麗 木阿彌陀佛坐像) 1점과 불화(아미타후불탱, 십육나한탱, 구품탱, 감로탱, 신중탱, 현왕탱) 6점이 남아있다.",,불가,불가,불가,미취학아동 보호자 동반아래 가능,,,0,,02-356-2001,0,,,,
2453996,12,0,20161213102236,"<a title=""새창:수도박물관 홈페이지로 이동"" href=""https://arisu.seoul.go.kr/arisumuseum/intrcn/sub1.jsp"" target=""_blank"">https://arisu.seoul.go.kr/arisumuseum</a>",20211221171901,,,수도박물관,http://tong.visitkorea.or.kr/cms/resource/77/1570777_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/1570777_image3_1.jpg,1,16,A02,A0204,A02040800,서울특별시 성동구 왕십리로 27,(성수동1가),04770,127.0422909651,37.5398751565,6.0,"뚝섬수원지 제1정수장은 1908년 9월부터 한국 최초로 수돗물을 생산, 공급한 곳이다. 이를 2008년 복원, 정비하여 개관하였으니 100년만이다. 이곳에서 상수도의 역사와 가치를 이해하고 서울시 수돗물‘아리수’생산과정도 살펴본다. 박물관 건물은 근대식 건축물의 특징이 잘 나타나 서울시 유형문화재 제 72호로 지정되었다.","20~40명 단체, 개인의 경우 단체팀과 합류하여 진행",없음,없음,없음,7세 이상,"제1관람코스(뚝도아리수정수센터+수도박물관 관람), 제2관람코스(수도박물관 관람)<br/>
※ 체험학습 프로그램 참여 사전 예약 필수",0.0,0,0.0,02-3146-5936,,가능(서울 숲 대형 주차장),"매주 월요일, 1월 1일, 설날 및 추석 당일",,"하절기(3~10월) 평일 10:00~20:00 /공휴일 10:00~19:00<br/>
동절기(11~2월) 평일 10:00~19:00 /공휴일 10:00~18:00"
126483,12,0,20040227000000,"<a href=""https://www.nowon.kr/www/info/info1/info1_01.jsp"" target=""_blank"" title=""새창 : 노원구 문화관광 홈페이지로 이동"">http://www.nowon.kr</a>",20211216151648,,,수락산,http://tong.visitkorea.or.kr/cms/resource/94/739094_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/739094_image3_1.jpg,1,9,A01,A0101,A01010400,서울특별시 노원구 상계동 산1-1,,01622,127.0732589963,37.6854837875,6.0,"서울 주위에 좋은 산들이 많지만 수락산(높이 638m)은 계절에 상관없이 언제 찾아가도 나름대로의 특색을 보여주는 산이다. 아기자기한 암봉들은 저 멀리 설악산이나 월출산을 찾아간 듯한 느낌도 안겨준다. 서울시와 경기도 의정부시, 남양주시 별내면의 경계에 솟은 수락산에는 금류, 은류, 옥류 폭포와 신라 때 지은 흥국사, 조선조 때 지어진 내원사, 석림사, 궤산정 등 명소가 산재해 있다. 수락산 남쪽에는 불암산이 솟아있고, 서쪽으로 마주 보이는 곳에는 도봉산이 의젓하게 자리잡고 있다. 수락산의 여러 등산코스 중 서울시민들이 선호하는 코스는 지하철 4호선 당고개역 앞에서 시작하여 학림사와 용굴암을 경유하는 코스이다. 불암산과 잇닿은 쪽의 능선은 봄철이면 철쭉이 아름답다. 산길이 험하지 않고 비교적 교통이 편리해서 휴일이면 많은 사람들로 붐빈다. <br>",,불가,없음,불가,,,0.0,0,0.0,02-2116-3943,,,,,
736370,12,0,20090520002629,"<a href=""http://parks.seoul.go.kr/parks/"" target=""_blank"" title=""새창: 서울의 공원 홈페이지로 이동"">http://parks.seoul.go.kr/parks/</a>",20220520173739,,,수락산 당고개지구 공원,http://tong.visitkorea.or.kr/cms/resource/04/739104_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/04/739104_image3_1.jpg,1,9,A01,A0101,A01010500,서울특별시 노원구 상계로 273,,01639,127.0758064644,37.6687552242,6.0,"수락산 당고개지구 공원은 지하철 4호선 당고개역 인근에 있다. 지역주민의 편안한 휴식과 문화공간을 목적으로 지어졌다.  공원 중심에 나선형 광장과 어린이 놀이공간, 야외무대, 소나무 동산, 농구장, 배드민턴장, 체력단련장 등이 조성되어 있다.  열주 이외에 특별한 시설물이 없는 나선형광장은 주민들의 커뮤니티 활성화 공간으로 설계 되어졌다고 한다. 공원내 인기시설로 인공암벽장이 있는데 평일과 주말에 암벽등반 동호인들이 자주 이용한다.<br>",,없음,없음,불가,,,0.0,0,0.0,02-950-3918,,있음,,,연중개방
485685,12,0,20080225175630,"<a href=""https://www.nowon.kr/www/info/info1/info1_06/info1_06_02.jsp"" target=""_blank""   title=""수락산 학림사 홈페이지로 이동"">https://www.nowon.kr/www/info/info1/info1_06/info1_06_02.jsp</a>
<br>학림사 <a href=""http://hakrimsa.or.kr/"" target=""_blank"" title=""새창 : 학림사 홈페이지로 이동"">http://hakrimsa.or.kr/</a>",20220524131811,,,수락산 학림사,http://tong.visitkorea.or.kr/cms/resource/26/2675526_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/26/2675526_image2_1.jpg,1,9,A02,A0201,A02010800,서울특별시 노원구 덕릉로129가길 241,(상계동),01632,127.0773476077,37.6821398057,6.0,"<strong>노원구 수락산에 위치한 통일신라 승려 원효가 창건한 사찰로 가을 단풍이 아름다운 노원9경(九景)중 한 곳</strong><br>
<br>
멀리서 바라보는 수락산은 드물게 암벽이 우뚝 솟아 봉우리를 이루고 있고, 그 아래로는 울창한 숲이 바다를 이루며 펼쳐져 있다. 이 나무의 바다 속에는 수많은 생명들이 삶을 영위해 가고 있으며, 또한, 크고 작은 많은 사찰들도 자리하여 자연과 더불어 법등을 이어가고 있다. 남쪽 산록에 자리한 학림사는 주변지세가 마치 엄마가 자식을 품고 있는 듯한 모습이다. 그래서 절 이름도 학이 알을 품고 있는 것과 같다고 해서 학림사라 하였다. 경내에는 가지가 늘어지다 못해 처진 듯한 노송(老松)이 당당하게 서 있어 오랜 역사를 말해주는 듯하다.<br>
<br>
이러한 학림사는 서울 근교에 자리한 많은 사찰 가운데 그 역사만큼이나 기도도량으로 명성이 높다. 오백나한전에 가득하신 나한님들의 위신력과 약사전의 약사여래의 가피력은 지성으로 기도를 한 사람들에게 반드시 감응이 있기 때문이다. 또한 학림사는 천혜의 자연 조건이 갖추어져 있어 참배는 물론 가족이 함께 산행까지 겸할 수 있는 웰빙 사찰이라 하지 않을 수 없다. 울창한 숲을 걸으며 삼림욕을 즐기고, 산사에 들러 시원한 감로수 한 모금이면 속세에 찌든 온갖 티끌이 씻겨 내려갈 수 있기 때문이다.<br>
<br>산록에 자리한 학림사가 기도와 웰빙의 도량 역할을 하고 있다면, 노원역 부근에 자리한 학림불교회관은 포교와 교육의 도량으로 자리매김하고 있다. 이곳에서는 다양한 법회와 경전강의, 문화강좌 등을 설치 운영하고 있으며, 유치원과 노인대학을 통하여 복지활동도 펼쳐가고 있기 때문이다. 그러므로 학림사는 명실공히 기도와 수행, 포교와 교육의 도량을 함께 갖춘 사찰로서 역할하기 위해 끊임없이 노력하고 있다.<br>",,불가,없음,불가,,,0.0,0,0.0,학림사 02-916-1700,,,연중무휴,,상시운영
2733962,12,0,20210817092300,,20211207143853,,,수성동계곡,http://tong.visitkorea.or.kr/cms/resource/15/2780615_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/15/2780615_image2_1.png,1,23,A01,A0101,A01010900,서울특별시 종로구 옥인동 185-3,(옥인동),03034,126.9631997475,37.5822799198,6.0,"수성동계곡은 인왕산에서 흘러 내려와 청계천으로 합류하는 계곡으로, 계곡의 물소리가 크고 맑아 동네 이름이 조선 시대에 수성동(水聲洞)으로 불렸다고 한다. 겸재 정선이 북악산과 인왕산의 경승 8경을 그려 담은 ‘장동팔경첩’에 속할 만큼 아름다운 곳으로 조선 시대 역사 지리서인 <동국여지비고>, <한성지략> 등에 '명승지'로 소개된 곳이다. 또한 풍류를 아는 왕자 안평대군이 집(비해당)을 짓고 살았던 곳으로 계곡과 돌다리 등이 2010년에 서울시 기념물 문화재로 지정됐다. 1971년 옥인시범아파트가 들어서면서 수려한 경관을 잃어버렸으나 그로부터 40년 후, 아파트를 철거하고 문화재보호 구역으로 지정되면서 본래의 아름다움을 되찾게 되었다. 수성동계곡 복원사업은 국토교통부 주최 ‘2014년 대한민국 국토 도시디자인대전’ 에서 최고의 영예인 대통령상을 받았다.",,없음,없음,가능,,,0.0,0,0.0,02-2148-2844,월요일 ~ 일요일,,,,00:00 ~ 24:00
2759905,12,0,20211020134739,,20211108150641,,,수안사,http://tong.visitkorea.or.kr/cms/resource/33/2770033_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/33/2770033_image3_1.jpg,1,15,A02,A0201,A02010800,서울특별시 서초구 효령로68길 30,(서초동),06722,127.0231081164,37.4863171426,6.0,"서울 서초구 남부터미널역 경부고속도로 서초IC 인근 주택가에 있는 대한 불교 조계종 사찰이다. 건물 입구에는 수안불교회관과 사단법인 명상연구원 현판이 걸려 있다. 도심 사찰로는 규모가 크고 대리석 벽체와 기와지붕으로 지어졌으며, 1층 무량수전, 2층 사무실, 3층 법당, 지하 식당으로 이뤄져 있다. 지하철 3호선 남부터미널역 3번 출구에서 조금 걸어가면 된다.",,없음,없음,없음,제한없음,정기법회,0.0,0,0.0,02-587-4677,,있음,없음,,05:00 ~ 18:00
761264,12,0,20090701030925,,20220602133621,,,수암사,http://tong.visitkorea.or.kr/cms/resource/17/739117_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/739117_image3_1.jpg,1,9,A02,A0201,A02010800,서울특별시 노원구 상계동 산153-1,,01633,127.0849276385,37.6763239530,6.0,"수락산 중턱의 남향 길상지에 자리한 경관좋고 유서깊은 사찰 수암사는 신라 진평왕 43년(621년)에  화랑세속오계의 원작자인 원광국사께서 삼국통일의 대업을 이루고자 창건 하였다.조선시대 병자호란때 소실된 이후 석국법당만 남아 있던 것을 다시 중건하였다. 경내에는 1962년 도욱스님의 중창 당시에 세워진 25평 규모의 전통양식(단청)의 극락보전을 비롯하여 삼성각, 요사채와 1972년에 건립된 미륵입상 등이 있다. 극락보전 옆의 큰 바위에는 여의주를 쥐고 승천하는 용의 형상이 음각으로 나타나 있고 가람 가운데 마치 여러마리의 용이 꿈틀대며 승천하는 형상을 지닌 적송이 있어 눈길을 끈다.<br>",,없음,없음,불가,,,0.0,0,0.0,02-939-3414,,수락산 공용주차장,연중무휴,,일출시~일몰시
2733972,12,0,20210817095043,"<a href=""http://www.saenamteo.or.kr"" target=""_blank"" title=""새창 : 순교성지새남터기념성당 사이트로 이동"">http://www.saenamteo.or.kr</a>",20211125164657,,,순교성지새남터기념성당,http://tong.visitkorea.or.kr/cms/resource/14/2780414_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/2780414_image2_1.jpg,1,21,A02,A0201,A02010900,서울특별시 용산구 이촌로 80-8,(이촌동),04374,126.9570963627,37.5251836679,6.0,"‘새남터’는 억새와 나무가 많다 해서 붙여진 이름이다. 조선 초기 군사들의 연무장이며 국사범들을 처형하던 곳이었는데, 4대 박해 동안 천주교 신자들이 처형되었던 장소이다. 외관에 순교자들 소개가 붙어 있으며 형장도 일부가 보존되어 관람이 가능하다며, 내부엔 순교 당시의 다양한 전시품이 전시되어있다.",,없음,없음,불가,,,0.0,0,0.0,02-716-1791,2006-09-03,,월요일,,10:00 - 17:00
1829735,12,0,20130723221943,"<a href=""http://mfis.mpva.go.kr/main/main.do"" target=""_blank"" title=""새창: 국가보훈처 현충시설 정보서비스 홈페이지로 이동"">http://mfis.mpva.go.kr/main/main.do</a>",20220617171625,,,순국선열추념탑,http://tong.visitkorea.or.kr/cms/resource/50/2413950_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/50/2413950_image3_1.jpg,1,14,A02,A0205,A02050200,서울특별시 서대문구 독립문공원길 80,(현저동),03732,126.9555284897,37.5729253140,6.0,"순국선열추념탑은 애국지사들과 항일투사들이 가장 많이 옥고를 치른 조국수난의 현장이었던 서대문형무소를 비롯하여 우리 산하와 해외 각처에서 조국 광복을 위하여 일제에 항거하다 장렬히 순국하신 선열들의 얼을 되새기며 원혼을 추모하기 위하여 서울특별시에서 1992년 8월 15일에 건립하였다.추념탑의 중앙에는 전국 14개도 전역에서 나타난 우리민족의 드높은 독립의지와 기상을 상징하고 있는 태극기를 음양각한 조각상이 높이 22.3m로 축조되어 있으며 좌우에는 길이 40m로 독립투쟁의 역사적 활동상을 형상화한 모습이 부조되어 있다. 좌측에는 항일의병무장상, 윤봉길ㆍ이봉창열사 상징상, 독립군의병 순국선열 처형상, 유관순열사 운동상이, 우측에는 3.1독립만세상, 안중근의사 이토 히로부미 저격상, 순국선열 의병체포 처형상, 청산리 전투상이 새겨져 있다. 또한, 바로 아래의 순국선열추념탑기(殉國先烈追念塔記)에는 일제의 침략부터 조국독립을 쟁취하기 위한 우리 선열들의 자주독립 의지와 끊임없이 계속된 항일투쟁사가 기록되어 있다.<br>",,없음,없음,불가,,,0.0,0,0.0,1577-0606,,있음,연중개방,,상시 개방
753964,12,0,20090617193155,"<a href=""http://www.cha.go.kr/"" target=""_blank"" title=""새창 : 문화재청 홈페이지로 이동"">http://www.cha.go.kr</a>",20220527133229,,,순명비유강원석물,http://tong.visitkorea.or.kr/cms/resource/97/755597_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/755597_image3_1.jpg,1,6,A02,A0205,A02050200,서울특별시 광진구 능동로 216,,04991,127.0763931608,37.5488358400,6.0,"조선 제27대 왕이자 마지막 왕인 순종의 황후 순명효황후의 능이었던 옛 '유강원' 터에 남아 있던 왕릉 석조각들이다. 순명효황후는 민태호의 딸로 세자빈에 책봉되었으나 순종이 임금이 되기 전 1904년에 사망하여 유강원에 묘소를 마련하였다. 그 후 순종이 세상을 떠난 1926년에 지금의 유릉에 옮겨와 함께 모셔졌으며 순종의 계비였던 순정효황후가 사망하자 이 또한 함께 모셔졌다. 순명효황후의 능을 마련하였던 유강원 터에는 능 주위에 세웠던 20여 기의 석조물이 남아있다. 석등을 비롯하여 문인석과 말, 양, 호랑이 등 동물을 조각한 것 등 매우 뛰어난 조각 솜씨를 보여 줄 뿐만 아니라 조선 말 왕실의 석조각으로 그 역사적 가치가 매우 중요하다.<br>",,없음,없음,불가,,,0.0,0,0.0,02-450-7576,,어린이대공원 주차장 이용,연중무휴,,공원 05:00~22:00
1606014,12,0,20120418133741,"<a href=""https://www.hanokmaeul.or.kr/"" target=""_blank"" title=""새창 : 남산골한옥마을 홈페이지로 이동"">https://www.hanokmaeul.or.kr/</a>",20211111100402,,,순정효황후윤씨친가,http://tong.visitkorea.or.kr/cms/resource/21/1985521_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/21/1985521_image3_1.jpg,1,24,A02,A0201,A02010400,서울특별시 중구 퇴계로34길 28,,04626,126.9939920541,37.5586776601,6.0,"조선말 윤비의 저택이었다고 전하는 이 가옥의 평면은 전체 'ㄷ'자형이고 대문은 동향으로 내었다. 사랑채는 대지의 동남 모서리의 전체 시가를 내려다 볼 수 있는 위치에 누각식으로 꾸몄다. 안채의 대청마루는 통2칸 전면 3칸의 6칸대청으로 동쪽을 향하고 있다. 기둥머리는 모두 초익공 이며 운공을 써서 도리를 받고 있는 짜임새가 특이하다. 사랑채의 지붕은 네귀에 추녀를 걸어 팔 작지붕으로 하고 합각면은 전돌쌓기로 마감하였다. 창호는 덧문형식으로 살문과 완자창을 달고 있으나 퇴락하였다. 사랑채 고정들창의 세로살을 약간 엇물려 꾸민 의장수법은 볼만하다. 부엌의 박공벽 면에는 낮 은 행랑채의 지붕 위에 사롱창을 내어 자연환기를 도모하였는데, 새김이 우수하며 박공끝 초각도 전형적인 쇠사리를 쓰고 있고 기둥모서리, 중방 면치기 등 (외사모, 실오리, 모쌍사치기 등)도 정 교하게 꾸며져 있다. 이 건물은 본래 종로구 옥인동 47-133에 있던 것을 1996년 남산골 공원이 조성되면서 이곳으로 옮겨온 것이다.<br>",,없음,없음,없음,,,0.0,0,0.0,02-3396-5842,,,,,
128162,12,1,20040604000000,"<a href=""http://www.junggu.seoul.kr/tour/"" target=""_blank"" title=""새창 : 서울 중구 문화관광 홈페이지로 이동"">http://www.junggu.seoul.kr/tour/</a><br>문화재청 <a href=""http://www.heritage.go.kr/heri/cul/culSelectDetail.do?ccbaCpno=1111100010000&pageNo=1_1_1_1"" target=""_blank"" title=""새창 : 문화재청사이트로 이동"">http://www.heritage.go.kr</a>",20211221152437,,,숭례문,http://tong.visitkorea.or.kr/cms/resource/01/1945801_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/1945801_image3_1.jpg,1,24,A02,A0201,A02010300,서울특별시 중구 세종대로 40,,04528,126.9752992762,37.5599855058,6.0,"숭례문(崇禮門)은 조선 태조 5년(1396)에 최초로 축조되었고 1398년 2월 중건되었다. 이 문은 조선시대 한성 도성의 정문으로  4대문 가운데 남쪽에 위치하므로, 남대문으로도 불린다. 1448년에도 크게 고쳐지었다. 이후 임진왜란과 병자호란 때에도 남대문은 피해를 입지 않았다.처음 만들어졌을 때는 양측에 성벽이 연결되어 있었지만 1908년 도로를 내기 위하여 헐어 내고 성문만 섬처럼 따로 떨어져 있었으나, 2006년 복원 공사를 마치고 지금과 같은 모습을 하게 되었다. 1962년 문화재보호법에 의하여 보물에서 국보로 지정되었다.<br><br>건물의 평면은 아래.위층이 모두 5칸, 측면 2칸이며,  건물 내부의 아래층 바닥은 홍예의 윗면인 중앙칸만이 우물마루일 뿐, 다른 칸은 흙바닥으로 되어있고 위층은 널마루이다. 편액의 필자에 관하여는 여러가지 설이 있으나, &lt;지봉유설&gt;에는 양녕대군이 쓴 것이라고 기록되어 있다. 다른 문의 편액은 가로로 쓰여 있으나 숭례문이 세로로 쓰여 있는것은 숭례(崇禮)의 두 글자가 불꽃을 의미하여, 경복궁을 마주보는 관악산의 불기운을 누르게 하기 위해서라고 한다.<br><br>현존하는 성문 건물로는 우리나라에서 가장 규모가 큰 남대문은 전형적인 다포(多包)양식의 건물로 견실한 목조건축물의 수범을 보이고 있는 한국 건축사상 중요한 건물의 하나이다.1997년 초 서울시에서 이 문의 경관을 더욱 돋보이게 하기 위하여 조명설비를 새로이 한 바 있다.서울 중구는 2005년 10월부터 통로 보수공사와 홍예문 입구 등 5곳에 대한 지표조사를 실시, 조선 세종때의 것으로 추정되는 아랫부분 석축 기단과 지대석(맨 아래 기초석), 박석(바닥에 까는 돌), 문지도리(문을 다는 돌 구조물) 등을 발굴했다.<br><br>이는 1907년께 남대문을 관통하던 전차선로를 내면서 문 주위로 흙을 1미터 가량 쌓아올려 아래쪽 기단과 박석들이 완전히 묻힌 것으로 보인다고 밝혔다. 따라서 중구는 시민들이 지반보다 1.6ｍ 아래에 있는 이들 구조물을 볼 수 있도록 중앙통로 시굴 부분을 그대로 남겨둔 채 관람시설을 설치했다. 숭례문의 중앙통로인 홍예문을 따라 숭례문을 둘러볼 수 있다. 그러나 숭례문은 2008년 2월 10일 화재로 인하여 전소되었고, 5년 3개월에 걸친 복구 사업을 완료하고 2013년 개방되었다. 2013년 5월 1일에는 숭례문 복구를 고하는 '고유제(告由祭)'가 치러졌다.숭례문 복원에는 충남 태안의 안면송이 사용되었다. 안면송은 고려시대부터 궁궐이나 선박용으로 사용되어 왔으며, 이번 숭례문의 석가래, 기둥, 지붕 등에 사용되었다.",,없음,없음,불가,,,0.0,0,0.0,02-779-8547~8,,,월요일,,"[개방시간] 09:00~18:00<br />
※ 6~8월은 18:30까지 개방<br />
※ 12~2월은 17:30까지 개방"
1604733,12,0,20120417222809,"<a href=""http://parks.seoul.go.kr/
""target=""_blank"" title=""새창:서울의 산과 공원"">
http://parks.seoul.go.kr/</a>",20220519133755,,,숭인근린공원,http://tong.visitkorea.or.kr/cms/resource/22/1568222_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/1568222_image3_1.jpg,1,23,A02,A0202,A02020700,서울특별시 종로구 동망산길 150,(숭인동),03110,127.0178504854,37.5765176820,6.0,"1980년에 개원한 도시공원으로 주민들이 휴식과 산책, 가벼운 운동을 할 수 있도록 조성되었다.<br /><br />* 면적 : 42,943m(제곱)<br>",,없음,없음,없음,,,0.0,0,0.0,02-2148-2841,,,,,
2646372,12,0,20200203194006,"<a href=""https://spadohyang.modoo.at/""target=""_blank"" title=""새창: 
스파도향"">https://spadohyang.modoo.at/</a>",20220708164209,,,스파 도향,http://tong.visitkorea.or.kr/cms/resource/67/2646367_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/67/2646367_image2_1.bmp,1,1,A02,A0202,A02020500,서울특별시 강남구 논현로 611,,06122,127.0331260275,37.5082981035,6.0,"* 강남 최대 규모의 토탈 Beauty & Spa<br /><br />스파 도향( 道鄕 ) : 길 도 , 시골 향 Since 2007, 뉴트로 시대의 빠른 변화 속 옛 것의 감성을 찾듯, 기존 스파의 차별화가 아닌 한국 스파의 자존심인 전통 스파를 고집한다. 나만의 케렌시아 공간이 제공 될 수 있도록 최선을 다해 노력하며 고객의 시간과 감성의 가치를 높여 주는 최고의 서비스를 제공하고 스파의 가장 기본적인 덕목인 오감 만족을 지향한다.",,없음,없음,없음,,,0.0,0,0.0,"02-6326-0881,7",,"월~토 : 대승주차장 10:00~18:00 (2시간 기준 3,000원)<br />
일 : 스파도향 자체 주차 가능",전화문의,,11:00 ~ 22:00
584698,12,0,20080709222510,"<a href=""http://www.spalei.co.kr/"" target=""_blank"" title=""스파레이 사이트로 이동"">http://www.spalei.co.kr</a>",20220613160600,,,스파레이,http://tong.visitkorea.or.kr/cms/resource/72/2024972_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2024972_image3_1.jpg,1,15,A02,A0202,A02020400,서울특별시 서초구 강남대로107길 5,(잠원동),06524,127.0182354456,37.5178689471,6.0,"서초구 잠원동에 위치한 스파레이는 전통 동유럽 분위기를 물씬 느낄 수 있는 고품격 시설과 다양한 편의 시설이 갖추어진 여성 전용 찜질방 및 사우나이다. 지하1층, 지하2층, 지상 3층으로 구성된 스파레이는 웰빙 이벤트탕, 황토방을 비롯한 스파 시설과 더불어 불한증막, 참숯방 등의 테마 찜질방이 마련되어 있다. 뿐만 아니라 네일아트, 피부관리실, 한식당 및 분식 식당, 인터넷방, 좌욕실 등의 다양한 편의 시설도 마련되어 있어 여성들을 위한 전용 찜질방으로 편리하게 이용할 수 있다.<br>",,없음,가능,불가,,,0.0,0,0.0,02-545-4002,,"차량100대 가능(기본 6시간 3,000원 / 초과 시간당 2,000원)",연중무휴,,24시간
